profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir,eslesen_sehir
ebrusaygili_4946,31.0,2.0,4.0,1.0,gazi̇antep,Gaziantep
Cagla_Kyn,146.0,31.0,86.0,114.0,bursa,Bursa
serapca33,136.0,87.0,74.0,1.0,mersi̇n,Mersin
melikeninmutfagii,21.0,7.0,20.0,25.0,mardi̇n,Mardin
Canan_Berik,117.0,429.0,5205.0,1105.0,hatay,Hatay
Hira_Hatice,28.0,9.0,5.0,2.0,i̇stanbul,İstanbul
merveksp,79.0,13.0,3.0,0.0,konya,Konya
merve-durmus,124.0,7.0,57.0,6.0,i̇stanbul,İstanbul
sinemth,121.0,4.0,5.0,0.0,i̇stanbul,İstanbul
cansu_gdr_dnyyn,32.0,18.0,40.0,12.0,bayburt,Bayburt
bengu-ozdemir,147.0,4.0,4.0,12.0,balikesi̇r,Balıkesir
Bahar_Kollar,125.0,6.0,13.0,10.0,i̇zmi̇r,İzmir
ebruzilelioglugunes,127.0,47.0,29.0,16.0,i̇stanbul,İstanbul
nisademirbilek,24.0,3.0,4.0,0.0,kirikkale,Kırıkkale
TalindanTarifler,24.0,6.0,13.0,0.0,i̇stanbul,İstanbul
nytuser_aysetokay_5655,24.0,7.0,9.0,8.0,i̇zmi̇r,İzmir
nytuser_merveuzunaslan_2201,25.0,20.0,26.0,1.0,gazi̇antep,Gaziantep
goog_cc5775042020,41.0,7.0,2.0,0.0,i̇stanbul,İstanbul
eliffilemutfakta,50.0,15.0,20.0,2.0,i̇stanbul,İstanbul
Betul_Ozsoy4,43.0,13.0,50.0,46.0,i̇stanbul,İstanbul
gursesnurgul,60.0,5.0,7.0,6.0,i̇stanbul,İstanbul
goog_eb971f64c4e5,39.0,6.0,5.0,5.0,di̇yarbakir,Diyarbakır
Leylanin_Tarifleri,25.0,3.0,6.0,4.0,gazi̇antep,Gaziantep
Bahar777,29.0,9.0,5.0,1.0,van,Van
Sakire_Karadeniz,39.0,45.0,60.0,1.0,amasya,Amasya
annesininkizimelek,119.0,4.0,6.0,13.0,ankara,Ankara
goog_eaa89be0783e,49.0,48.0,154.0,28.0,i̇stanbul,İstanbul
reyhanpoyrazz,66.0,11.0,102.0,119.0,ankara,Ankara
melikeincir46,84.0,97.0,56.0,8.0,gümüşhane,Gümüşhane
kubramercinmek,123.0,76.0,195.0,10.0,ki̇li̇s,Kilis
selmailetarifler,26.0,14.0,19.0,2.0,i̇stanbul,İstanbul
ehlen_sehlen,131.0,20.0,46.0,25.0,şanliurfa,Şanlıurfa
Sevaloztrk,26.0,3.0,4.0,1.0,di̇yarbakir,Diyarbakır
krcby,62.0,23.0,36.0,38.0,ankara,Ankara
Nilay_Yazici2,108.0,10.0,30.0,4.0,i̇stanbul,İstanbul
goog_3ff2660afc40,32.0,17.0,11.0,9.0,bursa,Bursa
Zehra_InceIzci,56.0,16.0,13.0,12.0,ankara,Ankara
kaderinmutfagi_,49.0,34.0,39.0,7.0,bursa,Bursa
sevde-0643,51.0,28.0,17.0,13.0,mani̇sa,Manisa
gulsen.aslan,46.0,35.0,30.0,44.0,di̇yarbakir,Diyarbakır
aliyesumer_0326,30.0,51.0,103.0,7.0,edirne,Edirne
sevimelgunn,38.0,111.0,141.0,0.0,i̇stanbul,İstanbul
rabiabyrm,121.0,82.0,125.0,16.0,ankara,Ankara
haticeeturann,108.0,27.0,124.0,7.0,i̇zmi̇r,İzmir
Arzu_KorkutanTiris,54.0,10.0,26.0,24.0,i̇stanbul,İstanbul
MuhammetOzlem_Sezer,111.0,35.0,145.0,186.0,samsun,Samsun
mutfagin_mayasi,33.0,87.0,123.0,0.0,ankara,Ankara
ElFida_Durceylan,64.0,32.0,22.0,8.0,i̇stanbul,İstanbul
bayramcakir_7259,33.0,7.0,17.0,51.0,i̇stanbul,İstanbul
Melike_Ciftci3,102.0,12.0,19.0,11.0,i̇stanbul,İstanbul
esraderin1339,34.0,42.0,76.0,3.0,ankara,Ankara
Tugba_Cinar5,118.0,75.0,82.0,0.0,kocaeli̇,Kocaeli
elif_nazikk,37.0,25.0,24.0,59.0,i̇zmi̇r,İzmir
bilgiiii,108.0,139.0,437.0,191.0,i̇stanbul,İstanbul
Irmak128,36.0,4.0,4.0,1.0,balikesi̇r,Balıkesir
2731gz,90.0,31.0,32.0,33.0,tunceli̇,Tunceli
ozlmkitchen,35.0,9.0,5.0,5.0,ankara,Ankara
yildiz-9494,44.0,19.0,39.0,5.0,i̇stanbul,İstanbul
kbr4452,73.0,11.0,8.0,6.0,i̇stanbul,İstanbul
eliffinlezzetleri,42.0,107.0,301.0,0.0,bursa,Bursa
mmys,106.0,40.0,42.0,49.0,deni̇zli̇,Denizli
cansubakirarar,74.0,18.0,21.0,35.0,adana,Adana
reyhan-agdas-25,49.0,27.0,29.0,19.0,i̇stanbul,İstanbul
haticeciftci_8089,38.0,6.0,10.0,6.0,şanliurfa,Şanlıurfa
Gurbet_UyukKilic,83.0,49.0,18.0,6.0,i̇stanbul,İstanbul
gobekliavokado,38.0,20.0,82.0,53.0,ankara,Ankara
Dgz_Agtas,63.0,22.0,25.0,25.0,i̇stanbul,İstanbul
nerminatici6970,78.0,196.0,112.0,32.0,mersi̇n,Mersin
sare_gullu,44.0,12.0,7.0,21.0,çorum,Çorum
buglemtugba,126.0,257.0,1136.0,14.0,gazi̇antep,Gaziantep
ugurmeryemce,92.0,28.0,21.0,11.0,i̇stanbul,İstanbul
Zeynep_Ocal8,55.0,4.0,4.0,19.0,mardi̇n,Mardin
goog_8c002052146d,38.0,31.0,25.0,21.0,gazi̇antep,Gaziantep
goog_96a85aac7632,37.0,15.0,39.0,38.0,i̇stanbul,İstanbul
asyadefne,133.0,108.0,104.0,21.0,eski̇şehi̇r,Eskişehir
lezzettlitarifler,94.0,46.0,78.0,4.0,ankara,Ankara
Ertan_Erkek,46.0,6.0,6.0,6.0,adana,Adana
sclozdgru,61.0,16.0,27.0,27.0,kocaeli̇,Kocaeli
eslemlara,113.0,9.0,135.0,652.0,tokat,Tokat
Yagmur_GorkemliDemir,88.0,32.0,24.0,2.0,i̇stanbul,İstanbul
CeCe96,107.0,44.0,37.0,3.0,balikesi̇r,Balıkesir
cigdemozmen,105.0,65.0,67.0,42.0,batman,Batman
Hulya_Demir20,122.0,66.0,111.0,24.0,i̇stanbul,İstanbul
volkaneslif,63.0,19.0,278.0,120.0,aydin,Aydın
elifasel_nuriye,90.0,21.0,13.0,4.0,aksaray,Aksaray
mircookery,37.0,24.0,29.0,2.0,bursa,Bursa
elanur_25,54.0,35.0,56.0,15.0,erzurum,Erzurum
Ilknur_Kisik,103.0,34.0,26.0,3.0,ordu,Ordu
mze1989,129.0,22.0,28.0,40.0,gaziantep,Gaziantep
ayse-cevik-9784,43.0,3.0,5.0,4.0,antalya,Antalya
esragovce,41.0,50.0,67.0,20.0,hatay,Hatay
NeseOzgur_Polat,124.0,8.0,20.0,17.0,i̇stanbul,İstanbul
CoskunBuket_Kucuk,84.0,39.0,29.0,7.0,bursa,Bursa
Servet_Simsek2,67.0,47.0,59.0,65.0,antalya,Antalya
Omriye_Adiguzel,143.0,41.0,41.0,5.0,konya,Konya
Safiye_Yucel3,100.0,22.0,18.0,1.0,konya,Konya
ozlemefe27,120.0,14.0,17.0,1.0,gazi̇antep,Gaziantep
mevakrt_0060,41.0,20.0,12.0,7.0,gazi̇antep,Gaziantep
senavurdaal,97.0,28.0,47.0,0.0,antalya,Antalya
sevincgultekin2903,43.0,21.0,32.0,51.0,konya,Konya
halimeadas,71.0,6.0,6.0,3.0,hatay,Hatay
cgdm5168,97.0,23.0,132.0,217.0,afyon,Afyon
Meloqqo,41.0,23.0,25.0,5.0,ankara,Ankara
melek-demirci-4935,44.0,3.0,0.0,3.0,i̇stanbul,İstanbul
yaseminarya,88.0,9.0,21.0,16.0,i̇stanbul,İstanbul
Sedanur_Cakat,60.0,5.0,2.0,0.0,samsun,Samsun
handepehlivan1110,100.0,107.0,2036.0,15.0,amasya,Amasya
Busra_Tekin27,55.0,149.0,1559.0,3.0,i̇stanbul,İstanbul
Pinar_KolakOkumus,68.0,12.0,9.0,3.0,i̇stanbul,İstanbul
svdalpy,70.0,16.0,26.0,30.0,i̇stanbul,İstanbul
yasemin-tuncer,146.0,50.0,230.0,4.0,ankara,Ankara
tolgacandurak,45.0,16.0,118.0,5.0,bolu,Bolu
kozalakk,78.0,13.0,97.0,32.0,adana,Adana
rmzycftc23,92.0,6.0,10.0,9.0,elaziğ,Elazığ
heliant,116.0,13.0,6.0,0.0,ankara,Ankara
rengarenk1blog,43.0,12.0,68.0,37.0,aydin,Aydın
merve-yusufali,87.0,40.0,21.0,2.0,hatay,Hatay
BetulHasan_Unal,111.0,10.0,29.0,32.0,i̇zmi̇r,İzmir
merveayk123,57.0,7.0,1.0,3.0,i̇stanbul,İstanbul
sn08,92.0,47.0,33.0,4.0,antalya,Antalya
kubraekici,123.0,146.0,505.0,30.0,bursa,Bursa
burcucilekci,91.0,26.0,29.0,14.0,i̇stanbul,İstanbul
Merve_OlmezKahraman,68.0,32.0,9.0,2.0,konya,Konya
maidenurbudak,68.0,49.0,68.0,5.0,erzurum,Erzurum
