profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir,eslesen_sehir
zeynepkendir98,100.0,1.0,0.0,3.0,i̇stanbul,İstanbul
Yasemin_TokyurekSanci,129.0,38.0,267.0,21.0,ankara,Ankara
muallemekizz,39.0,5.0,6.0,1.0,si̇i̇rt,Siirt
flzysff,85.0,12.0,39.0,49.0,di̇yarbakir,Diyarbakır
SerifeMevlut_Tikir,111.0,8.0,7.0,6.0,konya,Konya
beyazhavuc,84.0,1.0,2.0,6.0,eski̇şehi̇r,Eskişehir
Hulya_KaragozGungor,119.0,1.0,0.0,5.0,konya,Konya
goog_c657453164bf,46.0,2.0,0.0,0.0,afyon,Afyon
Zehra_Muslim,107.0,1.0,1.0,1.0,i̇stanbul,İstanbul
cerenty88,120.0,8.0,6.0,10.0,ankara,Ankara
belenkaya,103.0,7.0,15.0,3.0,bursa,Bursa
glrbzdg,63.0,6.0,62.0,0.0,kahramanmaraş,Kahramanmaraş
Ibrahim_Uygar,113.0,3.0,6.0,2.0,ankara,Ankara
Musa_Ozdogru,115.0,2.0,18.0,49.0,eski̇şehi̇r,Eskişehir
melisa31,69.0,3.0,0.0,0.0,hatay,Hatay
Hakan_Isinmis,115.0,5.0,10.0,7.0,nevşehi̇r,Nevşehir
Ozge_Avci17,59.0,3.0,13.0,33.0,yalova,Yalova
theceren,79.0,6.0,3.0,0.0,samsun,Samsun
Tugce_Bilgin2,105.0,3.0,1.0,0.0,i̇stanbul,İstanbul
bh8791,122.0,7.0,8.0,23.0,i̇stanbul,İstanbul
havvabeyza,108.0,4.0,2.0,5.0,i̇stanbul,İstanbul
nisanur2005,49.0,7.0,11.0,4.0,aydin,Aydın
ecrinsudenur,113.0,2.0,4.0,13.0,kirikkale,Kırıkkale
bursabusra,111.0,2.0,2.0,6.0,bursa,Bursa
arzu439,156.0,30.0,96.0,28.0,i̇stanbul,İstanbul
ozleminmuttfagi,60.0,3.0,34.0,74.0,bursa,Bursa
arifegunes,77.0,1.0,1.0,8.0,samsun,Samsun
Sevtap_Candan,122.0,3.0,4.0,16.0,antalya,Antalya
Gamze_Bykzr,131.0,1.0,2.0,7.0,ankara,Ankara
Sinem_Sahin36,76.0,3.0,1.0,2.0,antalya,Antalya
zehrakaradas,52.0,5.0,14.0,7.0,deni̇zli̇,Denizli
Leyla_Efe3,112.0,36.0,23.0,0.0,ni̇ğde,Niğde
sumeyyelevent,91.0,33.0,637.0,872.0,samsun,Samsun
ebrugkblk,62.0,3.0,9.0,6.0,i̇stanbul,İstanbul
nytuser_besibiryerdeninmu_1128,51.0,3.0,4.0,0.0,i̇stanbul,İstanbul
umrans,96.0,1.0,2.0,0.0,i̇stanbul,İstanbul
Talha-nin-Annesi,114.0,72.0,124.0,8.0,i̇stanbul,İstanbul
xxll34,105.0,18.0,14.0,3.0,muğla,Muğla
iclalakbas_5454,41.0,7.0,12.0,2.0,sakarya,Sakarya
Simge_Bulut2,79.0,1.0,4.0,9.0,teki̇rdağ,Tekirdağ
selmates,113.0,1.0,3.0,2.0,ankara,Ankara
Ecem_Zorlu,120.0,23.0,19.0,5.0,kirikkale,Kırıkkale
zeynep-rana-cagirici-5866,51.0,1.0,0.0,0.0,samsun,Samsun
nartbetul,87.0,10.0,62.0,17.0,mersi̇n,Mersin
tugce_sahinoz26,38.0,1.0,1.0,1.0,kocaeli̇,Kocaeli
Aytac_Uzun,109.0,1.0,1.0,1.0,i̇stanbul,İstanbul
sevgigurbuz5642,104.0,1.0,0.0,4.0,ankara,Ankara
mugem1992,16.0,1.0,0.0,0.0,kocaeli̇,Kocaeli
Busra_Uzun13,83.0,6.0,6.0,0.0,ankara,Ankara
Gulsum_EkiciYilmaz,104.0,5.0,6.0,16.0,balikesi̇r,Balıkesir
hafizehalilbuklu-9136,52.0,5.0,24.0,128.0,muğla,Muğla
tulayarvas,127.0,83.0,171.0,2.0,i̇stanbul,İstanbul
beyzagoktas6603,95.0,4.0,1.0,3.0,çanakkale,Çanakkale
ahsen86,129.0,2.0,1.0,0.0,i̇stanbul,İstanbul
Merve_Ozdemir57,112.0,6.0,12.0,6.0,i̇stanbul,İstanbul
Sema_Akbulut10,40.0,1.0,0.0,1.0,ankara,Ankara
Emine_Kose59,42.0,1.0,0.0,4.0,osmani̇ye,Osmaniye
Cisem_Safak2,74.0,2.0,1.0,2.0,i̇zmi̇r,İzmir
Zekiye_Nal,125.0,1.0,0.0,0.0,antalya,Antalya
catface,125.0,33.0,41.0,52.0,balikesi̇r,Balıkesir
Esra_Beyaz,139.0,5.0,6.0,20.0,antalya,Antalya
Levent_Yilmaz4,112.0,5.0,2.0,1.0,ankara,Ankara
yusufblc4165,63.0,1.0,2.0,0.0,kocaeli̇,Kocaeli
kardelenderyam,113.0,2.0,3.0,1.0,erzurum,Erzurum
seda-s-gunen,111.0,8.0,8.0,10.0,i̇stanbul,İstanbul
Yasemin_Mehmet4,102.0,1.0,1.0,1.0,mersi̇n,Mersin
Filiz_Kucuk6,108.0,4.0,26.0,36.0,i̇stanbul,İstanbul
Fetiye_Isik,147.0,1.0,2.0,3.0,kayseri̇,Kayseri
Perili-yemekler,118.0,18.0,17.0,1.0,i̇stanbul,İstanbul
hasantakar,81.0,1.0,10.0,6.0,ankara,Ankara
meryem-oztoprak-9281,52.0,2.0,2.0,5.0,karaman,Karaman
Nursen_Clkknt,123.0,2.0,2.0,0.0,di̇yarbakir,Diyarbakır
Zehra_AsilayanSolak,119.0,3.0,6.0,7.0,i̇stanbul,İstanbul
Handan_Arslan,131.0,4.0,11.0,6.0,uşak,Uşak
afr4nur,22.0,2.0,6.0,3.0,i̇zmir,İzmir
Serpil_SaglamZivali,131.0,18.0,81.0,3.0,kocaeli̇,Kocaeli
pastameryyy,24.0,4.0,6.0,1.0,di̇yarbakir,Diyarbakır
Emine_GkcAvcu,96.0,7.0,29.0,42.0,konya,Konya
sudgtkn,65.0,3.0,13.0,12.0,i̇zmi̇r,İzmir
eozg52,68.0,5.0,7.0,1.0,i̇stanbul,İstanbul
ezgidilbaz,118.0,1.0,3.0,1.0,konya,Konya
Ozge_Temiz,121.0,9.0,184.0,0.0,mersi̇n,Mersin
Merve_Ipek7,84.0,4.0,66.0,392.0,i̇stanbul,İstanbul
gunzey,114.0,7.0,2.0,1.0,i̇stanbul,İstanbul
Ilknur_EgrekBoztepe,84.0,2.0,0.0,0.0,malatya,Malatya
Fatma_Dal,137.0,2.0,7.0,10.0,kayseri̇,Kayseri
Ece_Cetin3,121.0,6.0,5.0,2.0,adana,Adana
beritankaya,57.0,1.0,1.0,1.0,i̇stanbul,İstanbul
sinemucicek,4.0,1.0,2.0,0.0,i̇stanbul,İstanbul
sreyhan,124.0,35.0,82.0,3.0,i̇stanbul,İstanbul
busunmutfagi,32.0,2.0,2.0,1.0,tokat,Tokat
Melisa_Saatci,113.0,89.0,141.0,15.0,i̇stanbul,İstanbul
Doganur_Kabasakal,81.0,1.0,2.0,3.0,teki̇rdağ,Tekirdağ
VeyselHande_Koyuncu,125.0,9.0,7.0,8.0,mersi̇n,Mersin
Asli_Cakmakci,108.0,1.0,2.0,2.0,i̇stanbul,İstanbul
mrvmrvplt,115.0,2.0,2.0,8.0,ankara,Ankara
fatmahaluk,124.0,28.0,58.0,65.0,i̇stanbul,İstanbul
Gizemm_Kilci,119.0,27.0,42.0,42.0,ankara,Ankara
Zarife_Tekdemir,90.0,2.0,2.0,3.0,i̇zmi̇r,İzmir
nezeka,84.0,6.0,33.0,13.0,i̇stanbul,İstanbul
Ozlem_Ulu2,100.0,4.0,17.0,16.0,i̇zmi̇r,İzmir
Mehmet_Akgul7,113.0,1.0,1.0,0.0,adiyaman,Adıyaman
ferhatcaner,61.0,3.0,1.0,7.0,muğla,Muğla
gullssevim,80.0,34.0,58.0,70.0,teki̇rdağ,Tekirdağ
gizemliyemekler,93.0,5.0,3.0,0.0,kastamonu,Kastamonu
Nagihan_Yagar,125.0,1.0,2.0,13.0,konya,Konya
Kaan_Kartal2,95.0,2.0,2.0,3.0,samsun,Samsun
suade1975,103.0,7.0,4.0,0.0,i̇stanbul,İstanbul
Ruveyda_Gulten,72.0,4.0,6.0,8.0,osmani̇ye,Osmaniye
fatmaelter38,104.0,5.0,7.0,9.0,kayseri̇,Kayseri
ecemuykur,86.0,1.0,0.0,4.0,di̇yarbakir,Diyarbakır
tugcezen,101.0,2.0,5.0,4.0,aydin,Aydın
emineridvann,105.0,2.0,10.0,8.0,antalya,Antalya
Eren_Merve2,94.0,4.0,2.0,1.0,i̇stanbul,İstanbul
selmayuce123,114.0,14.0,11.0,22.0,ankara,Ankara
Cigdemm_Nalbantt,118.0,8.0,5.0,6.0,ankara,Ankara
gam-zeze,55.0,6.0,6.0,0.0,hatay,Hatay
Ayse_Kadioglu6,62.0,4.0,1.0,1.0,gi̇resun,Giresun
SARIKAYA,153.0,22.0,19.0,29.0,ankara,Ankara
IzehraI,127.0,5.0,20.0,6.0,i̇stanbul,İstanbul
demraaa,119.0,1.0,2.0,7.0,mersi̇n,Mersin
Busra_Savaskan,116.0,1.0,0.0,3.0,i̇stanbul,İstanbul
Asli_Ucar7,63.0,1.0,4.0,3.0,i̇stanbul,İstanbul
sevgimesepinar5255,100.0,3.0,0.0,0.0,i̇stanbul,İstanbul
fatma411427,56.0,4.0,2.0,0.0,ankara,Ankara
Nevin_Coban,106.0,3.0,4.0,7.0,teki̇rdağ,Tekirdağ
Fatma_Ocak12,82.0,3.0,7.0,10.0,i̇stanbul,İstanbul
Mehmetuba_Yln,118.0,27.0,34.0,4.0,osmani̇ye,Osmaniye
mckoyuncu,25.0,1.0,4.0,3.0,elaziğ,Elazığ
Kardelenminee,115.0,1.0,5.0,14.0,teki̇rdağ,Tekirdağ
Tolgahan_Durmus,85.0,3.0,6.0,4.0,i̇stanbul,İstanbul
FerhatCanan_Ozturk,115.0,7.0,4.0,1.0,bursa,Bursa
De_Niz,127.0,2.0,2.0,10.0,afyon,Afyon
Duygu_YildizKarahan,139.0,1.0,1.0,5.0,adana,Adana
Umut_Atay,126.0,6.0,12.0,41.0,hatay,Hatay
Tu-ba-ayhan,116.0,4.0,2.0,29.0,i̇stanbul,İstanbul
narmutfak54,24.0,4.0,15.0,7.0,sakarya,Sakarya
beyzasmnc,58.0,5.0,4.0,11.0,konya,Konya
sefzubeyde,119.0,1.0,0.0,0.0,konya,Konya
arfali,63.0,3.0,2.0,28.0,i̇zmi̇r,İzmir
Emel_BozkurtKalava,124.0,1.0,8.0,0.0,kars,Kars
dlkklc,70.0,3.0,2.0,3.0,i̇stanbul,İstanbul
yaseminalbayrak,74.0,5.0,10.0,0.0,kocaeli̇,Kocaeli
AYSEL3207,118.0,10.0,13.0,2.0,antalya,Antalya
Duygu_Senol4,96.0,10.0,18.0,3.0,zonguldak,Zonguldak
seda1955,123.0,10.0,81.0,175.0,samsun,Samsun
Melike_Kara5,121.0,2.0,1.0,0.0,ankara,Ankara
Asli_Tas9,78.0,2.0,25.0,5.0,balikesi̇r,Balıkesir
dilekoguz,121.0,5.0,9.0,24.0,şanliurfa,Şanlıurfa
zypsng,95.0,1.0,155.0,831.0,bi̇tli̇s,Bitlis
Serife_Dedeoglu,118.0,1.0,10.0,17.0,konya,Konya
chef-aygul,117.0,5.0,7.0,13.0,gazi̇antep,Gaziantep
htcchtccc,117.0,8.0,6.0,2.0,i̇stanbul,İstanbul
CansuMurat,130.0,1.0,1.0,28.0,i̇zmi̇r,İzmir
Zeynep_Emekk,110.0,4.0,3.0,2.0,balikesi̇r,Balıkesir
elcinakca,60.0,2.0,27.0,31.0,kahramanmaraş,Kahramanmaraş
Guler_OzenBalta,120.0,2.0,1.0,0.0,antalya,Antalya
Pelin_Surucu,108.0,7.0,49.0,9.0,hatay,Hatay
Beyza_Byzglu,120.0,2.0,2.0,3.0,trabzon,Trabzon
gulak22,73.0,2.0,8.0,1.0,hatay,Hatay
Ercan_Karakas,146.0,12.0,23.0,20.0,aydin,Aydın
s-ekim,119.0,2.0,4.0,2.0,çankiri,Çankırı
Feray_Coskun,118.0,15.0,16.0,8.0,deni̇zli̇,Denizli
Melisa_Su2,114.0,3.0,5.0,0.0,si̇nop,Sinop
Hale_Salman,103.0,1.0,2.0,5.0,i̇stanbul,İstanbul
Seyit_Ozcan,70.0,1.0,2.0,8.0,bursa,Bursa
baharseyhann,103.0,4.0,5.0,1.0,ankara,Ankara
nisaberen02,109.0,2.0,2.0,2.0,adiyaman,Adıyaman
Serpil_Kucuk3,124.0,1.0,13.0,6.0,deni̇zli̇,Denizli
Aysegul_Ozdemir28,102.0,6.0,9.0,16.0,i̇stanbul,İstanbul
Avesta_Arjin,72.0,6.0,3.0,0.0,adana,Adana
Melik_Muslu,124.0,1.0,0.0,0.0,hatay,Hatay
faridaibr,123.0,1.0,3.0,5.0,i̇stanbul,İstanbul
ElvanEcrin_Cicek,126.0,2.0,1.0,1.0,balikesi̇r,Balıkesir
busratuncay,117.0,6.0,11.0,3.0,isparta,Isparta
deryaozer,102.0,5.0,5.0,3.0,ankara,Ankara
haterl,93.0,4.0,14.0,63.0,i̇stanbul,İstanbul
Oylum_Karabay,54.0,2.0,3.0,7.0,deni̇zli̇,Denizli
Canan_OflazEge,126.0,10.0,8.0,17.0,i̇stanbul,İstanbul
kazim3427,99.0,3.0,1.0,1.0,i̇stanbul,İstanbul
Hicran_Pehlivan,64.0,2.0,1.0,6.0,i̇stanbul,İstanbul
andalasia,106.0,28.0,52.0,17.0,ankara,Ankara
yusotiy,100.0,14.0,12.0,10.0,konya,Konya
Sevilay_YuzerlerKuruoglu,147.0,1.0,5.0,12.0,i̇stanbul,İstanbul
kar1,113.0,1.0,2.0,4.0,bolu,Bolu
Gozde_Kuyucuklu2,115.0,9.0,3.0,2.0,bursa,Bursa
ozgecanmevsim,45.0,2.0,1.0,1.0,adana,Adana
Sukran_Aksoz2,83.0,1.0,0.0,1.0,adana,Adana
ilker38,84.0,2.0,3.0,7.0,hatay,Hatay
Duygu3437,113.0,5.0,13.0,6.0,i̇stanbul,İstanbul
metinkarakaya,104.0,4.0,12.0,11.0,samsun,Samsun
tgb5,122.0,7.0,14.0,12.0,aydin,Aydın
Fatmanur_Polat5,93.0,7.0,3.0,14.0,tokat,Tokat
Seda_Yildiz58,64.0,1.0,0.0,0.0,yalova,Yalova
nesliela41,86.0,12.0,0.0,3.0,kocaeli̇,Kocaeli
themrsena,56.0,1.0,1.0,1.0,adana,Adana
ikranur2016,104.0,17.0,110.0,296.0,ankara,Ankara
sezengul,85.0,20.0,38.0,10.0,i̇zmi̇r,İzmir
enfestariflerim,81.0,18.0,6.0,6.0,i̇zmi̇r,İzmir
Betul_AkinOzdemir,115.0,5.0,39.0,84.0,kayseri̇,Kayseri
IremDilara_Erdem,94.0,1.0,1.0,27.0,i̇zmi̇r,İzmir
boraboz3388,62.0,1.0,0.0,1.0,i̇stanbul,İstanbul
sultan1658,61.0,3.0,17.0,9.0,bursa,Bursa
miraorman,116.0,27.0,34.0,9.0,gazi̇antep,Gaziantep
susemsu,78.0,2.0,4.0,4.0,i̇stanbul,İstanbul
Huriye_Varol,109.0,4.0,1.0,2.0,i̇stanbul,İstanbul
mutlutatlar,125.0,14.0,24.0,6.0,i̇stanbul,İstanbul
mehtap94,76.0,9.0,22.0,8.0,muğla,Muğla
gamzeligelin23,91.0,9.0,6.0,1.0,gazi̇antep,Gaziantep
Selma_Gezer2,112.0,1.0,0.0,1.0,i̇stanbul,İstanbul
Okan_Tulay,133.0,4.0,10.0,6.0,i̇stanbul,İstanbul
ruknuma,76.0,3.0,2.0,3.0,zonguldak,Zonguldak
gulsahdag_2597,34.0,6.0,6.0,0.0,erzurum,Erzurum
pinarcanpoyraz,117.0,2.0,0.0,6.0,i̇zmi̇r,İzmir
Goknur_Taskin,132.0,151.0,324.0,11.0,malatya,Malatya
Damla_OnalHasbal,108.0,1.0,0.0,0.0,ankara,Ankara
nazkarabulut9650,98.0,2.0,4.0,1.0,kayseri̇,Kayseri
diclesnl,127.0,4.0,10.0,17.0,i̇stanbul,İstanbul
neslihan83,136.0,22.0,27.0,45.0,samsun,Samsun
utkusudem,131.0,3.0,6.0,9.0,mersi̇n,Mersin
eda922,88.0,3.0,5.0,2.0,i̇zmi̇r,İzmir
serapeyn,102.0,10.0,9.0,6.0,şanliurfa,Şanlıurfa
smyyegksugzl,77.0,7.0,5.0,2.0,düzce,Düzce
tarafgir,119.0,7.0,16.0,39.0,si̇vas,Sivas
Sabriye_Yucedag,131.0,10.0,26.0,33.0,elaziğ,Elazığ
Hicran_Ababey,99.0,9.0,8.0,9.0,i̇stanbul,İstanbul
goog_176601916eab,31.0,1.0,9.0,56.0,i̇stanbul,İstanbul
Ferda_Turan,80.0,1.0,0.0,0.0,i̇zmi̇r,İzmir
Ayse_Bulutbozok,119.0,1.0,0.0,25.0,ankara,Ankara
yemektariflerim0-9279,53.0,2.0,141.0,110.0,zonguldak,Zonguldak
Gizem_Hantal,108.0,4.0,7.0,6.0,bi̇leci̇k,Bilecik
bediaumut,119.0,9.0,10.0,21.0,i̇zmi̇r,İzmir
ErsinSerife_Urhan,113.0,3.0,6.0,4.0,konya,Konya
Tugce_YesilselviCan,126.0,7.0,7.0,2.0,i̇stanbul,İstanbul
sibelcetarifler,84.0,25.0,77.0,84.0,i̇stanbul,İstanbul
AhmetSumeyye_Baykaptan,111.0,7.0,15.0,22.0,i̇stanbul,İstanbul
Fatma_Topcu9,119.0,11.0,28.0,4.0,yalova,Yalova
Fatma_SiniksaranDavarci,97.0,8.0,4.0,2.0,nevşehi̇r,Nevşehir
Enes_Sanli,110.0,3.0,8.0,11.0,kirklareli̇,Kırklareli
Serife_Dadas,115.0,13.0,20.0,11.0,i̇stanbul,İstanbul
fadimekahramann,65.0,2.0,21.0,31.0,mani̇sa,Manisa
Nur_Arslan3,122.0,3.0,2.0,1.0,i̇zmi̇r,İzmir
Tugba_Kilinc5,123.0,2.0,17.0,4.0,adana,Adana
PerihanIsik_Sehirli,124.0,14.0,40.0,15.0,ankara,Ankara
SefSena,106.0,17.0,21.0,13.0,i̇stanbul,İstanbul
Cigdem,167.0,14.0,98.0,10.0,i̇stanbul,İstanbul
Edaa-Sarac,123.0,5.0,7.0,7.0,si̇nop,Sinop
nilos28,57.0,8.0,11.0,6.0,i̇stanbul,İstanbul
keremsude7039,95.0,16.0,88.0,82.0,amasya,Amasya
ozztu,111.0,20.0,24.0,0.0,i̇stanbul,İstanbul
begum2734,115.0,1.0,0.0,0.0,i̇stanbul,İstanbul
elifhanbarug3722,79.0,4.0,7.0,2.0,i̇stanbul,İstanbul
Omerve_KizikOruc,127.0,8.0,11.0,56.0,balikesi̇r,Balıkesir
fizyoterapistt,86.0,2.0,3.0,1.0,karabük,Karabük
Sibel_Tamer,124.0,1.0,2.0,1.0,di̇yarbakir,Diyarbakır
byzzclkk,120.0,2.0,3.0,1.0,i̇stanbul,İstanbul
CengizEmine_Ornek,119.0,1.0,1.0,1.0,kayseri̇,Kayseri
gamzecobanel3526,52.0,2.0,0.0,1.0,i̇zmi̇r,İzmir
Gozde_Ece,93.0,6.0,3.0,19.0,bursa,Bursa
Merve_Yamak,114.0,40.0,117.0,0.0,i̇stanbul,İstanbul
dersimhazal,116.0,14.0,20.0,12.0,mani̇sa,Manisa
nasihahhanim,83.0,5.0,19.0,42.0,ankara,Ankara
gamzegmz26,131.0,1.0,1.0,4.0,eski̇şehi̇r,Eskişehir
fatmadddemir,60.0,1.0,8.0,22.0,mardi̇n,Mardin
nytdamla,79.0,13.0,13.0,3.0,ankara,Ankara
MuhammedBinnur_Cakmaktepe,62.0,3.0,4.0,0.0,hatay,Hatay
ela79,115.0,22.0,96.0,7.0,i̇stanbul,İstanbul
ozlem-sertkara,119.0,9.0,22.0,13.0,i̇stanbul,İstanbul
TCKezban_Ahmet,119.0,4.0,3.0,0.0,adana,Adana
Vedat_Alemdaroglu,110.0,2.0,3.0,6.0,ankara,Ankara
antalyali-asci,90.0,5.0,3.0,0.0,antalya,Antalya
gamzeali97,99.0,1.0,0.0,0.0,çorum,Çorum
Hatice_Dursun9,121.0,25.0,12.0,4.0,i̇stanbul,İstanbul
damlasaglam,101.0,3.0,2.0,1.0,i̇zmi̇r,İzmir
Eesradurak,131.0,2.0,1.0,0.0,hatay,Hatay
elifuzat,64.0,11.0,6.0,3.0,i̇stanbul,İstanbul
oskeee,122.0,4.0,18.0,13.0,i̇stanbul,İstanbul
gulsahla,53.0,2.0,2.0,1.0,i̇stanbul,İstanbul
berranintatlari,100.0,4.0,8.0,10.0,konya,Konya
serenhuseyin,124.0,2.0,1.0,0.0,kastamonu,Kastamonu
Tc_Oglu,113.0,1.0,1.0,0.0,kayseri̇,Kayseri
ozzzozge,132.0,4.0,42.0,10.0,kocaeli̇,Kocaeli
Guldane_TyyrSaritarla,129.0,3.0,8.0,3.0,ankara,Ankara
Sanem_Araci,117.0,9.0,8.0,17.0,i̇zmi̇r,İzmir
Dilber_Akarcesme,117.0,1.0,4.0,7.0,i̇stanbul,İstanbul
mutfakgurme,105.0,6.0,10.0,3.0,konya,Konya
TC_Durukan,116.0,1.0,2.0,5.0,bolu,Bolu
PinAr_YaylaGulsen,123.0,46.0,51.0,22.0,samsun,Samsun
didem39,116.0,1.0,0.0,0.0,edi̇rne,Edirne
thexzeynep,46.0,6.0,3.0,2.0,kastamonu,Kastamonu
koraydamla,121.0,6.0,5.0,0.0,i̇stanbul,İstanbul
Eylem_Ildem,93.0,2.0,5.0,15.0,i̇stanbul,İstanbul
kml1925,106.0,2.0,1.0,0.0,i̇zmi̇r,İzmir
Nuseybe_Sen,102.0,14.0,49.0,86.0,ankara,Ankara
topyap,125.0,9.0,14.0,0.0,i̇stanbul,İstanbul
Ebru_0303,40.0,3.0,8.0,4.0,i̇stanbul,İstanbul
Ceren_Ozel3,69.0,1.0,2.0,2.0,eski̇şehi̇r,Eskişehir
sltnhll,111.0,15.0,53.0,1.0,ki̇li̇s,Kilis
Gulay_Yigit,133.0,1.0,0.0,0.0,i̇stanbul,İstanbul
2763sumeyra,106.0,2.0,17.0,22.0,gazi̇antep,Gaziantep
musakerem,113.0,21.0,35.0,34.0,erzurum,Erzurum
eylem3434,82.0,1.0,6.0,6.0,i̇stanbul,İstanbul
Mustafa_Yildirim86,60.0,1.0,1.0,0.0,gazi̇antep,Gaziantep
Saadet_Kacan,96.0,2.0,1.0,3.0,trabzon,Trabzon
Siadet,123.0,76.0,417.0,36.0,i̇stanbul,İstanbul
ermineerci,65.0,9.0,30.0,28.0,i̇zmi̇r,İzmir
Selin_Alptekin,127.0,26.0,30.0,3.0,i̇stanbul,İstanbul
inciagsakall,95.0,7.0,3.0,2.0,erzurum,Erzurum
goog_1c420ad530b4,34.0,2.0,0.0,1.0,teki̇rdağ,Tekirdağ
olacak,58.0,1.0,1.0,3.0,si̇vas,Sivas
halime72,117.0,4.0,5.0,3.0,batman,Batman
tugbakly87,68.0,5.0,3.0,3.0,i̇stanbul,İstanbul
Deniz_Guner2,106.0,10.0,4.0,0.0,edi̇rne,Edirne
serapzandli4178,78.0,1.0,3.0,3.0,van,Van
g-g-o,124.0,7.0,13.0,15.0,aydin,Aydın
serife198338icloudcom,103.0,28.0,53.0,42.0,kayseri̇,Kayseri
Yuksel_Yildiz3,119.0,1.0,5.0,19.0,muş,Muş
figen_Beyza7059,69.0,1.0,39.0,88.0,van,Van
destinagamze,124.0,9.0,0.0,1.0,samsun,Samsun
buseaygun,135.0,8.0,82.0,21.0,i̇stanbul,İstanbul
Hulya_Kasap,110.0,2.0,3.0,26.0,bursa,Bursa
Derya_Buyumez,109.0,6.0,4.0,3.0,kastamonu,Kastamonu
NaimMuge_AslanOzturk,151.0,14.0,58.0,55.0,bursa,Bursa
binnazayse,112.0,6.0,2.0,0.0,i̇stanbul,İstanbul
enesozdemir_1054,30.0,1.0,2.0,2.0,i̇stanbul,İstanbul
dreamgirl,130.0,5.0,4.0,1.0,muğla,Muğla
ilkydag,93.0,21.0,8.0,2.0,edi̇rne,Edirne
ZaferSeher_Kaplan,109.0,1.0,0.0,0.0,edi̇rne,Edirne
Ibrahimelif_Yilmaz,122.0,7.0,9.0,16.0,i̇stanbul,İstanbul
alazz,91.0,3.0,3.0,5.0,ankara,Ankara
beyzaecrin1907,123.0,3.0,2.0,0.0,antalya,Antalya
hanimelitatlari,29.0,2.0,1.0,1.0,kahramanmaraş,Kahramanmaraş
Murat_Yildirim,145.0,15.0,5.0,27.0,konya,Konya
Bahtiyar_Cotur,116.0,13.0,10.0,4.0,bursa,Bursa
biriciknur97,87.0,1.0,0.0,15.0,afyon,Afyon
Gokhan_Yilmaz33,78.0,2.0,7.0,0.0,i̇zmi̇r,İzmir
goog_3bef8e9ccd2f,30.0,1.0,0.0,2.0,adana,Adana
Beyzanur_Savk,72.0,1.0,8.0,6.0,deni̇zli̇,Denizli
demetdemiray2707,8.0,1.0,6.0,2.0,giresun,Giresun
Ebru_Gurbuz2,108.0,1.0,1.0,1.0,i̇stanbul,İstanbul
betulhakan,133.0,2.0,6.0,0.0,i̇stanbul,İstanbul
sedasunun-mutfagi,97.0,1.0,1.0,3.0,i̇zmi̇r,İzmir
gamzealbas,119.0,2.0,1.0,0.0,bursa,Bursa
nisanur68,94.0,1.0,3.0,3.0,aksaray,Aksaray
okyanuszk,96.0,17.0,29.0,9.0,erzurum,Erzurum
Gulay_Oktay,118.0,2.0,4.0,2.0,balikesi̇r,Balıkesir
nurgulhoroz8218,85.0,13.0,6.0,2.0,trabzon,Trabzon
kuvarskitchen,53.0,2.0,2.0,0.0,i̇stanbul,İstanbul
Hulya_Aydemir10,104.0,8.0,3.0,3.0,kayseri̇,Kayseri
Aleyna_Cakmak,101.0,1.0,0.0,0.0,i̇zmi̇r,İzmir
iscan,93.0,48.0,70.0,11.0,mersin,Mersin
naz03,96.0,3.0,6.0,21.0,hatay,Hatay
silau,99.0,3.0,6.0,10.0,düzce,Düzce
ummahani-belet-8900,43.0,1.0,4.0,2.0,i̇stanbul,İstanbul
Kenan_Arslan2,123.0,1.0,7.0,8.0,kastamonu,Kastamonu
GurbetSertac_Camur,93.0,1.0,8.0,17.0,i̇zmi̇r,İzmir
AyyuceSzr,132.0,20.0,22.0,3.0,mersi̇n,Mersin
Gul_Sudan,125.0,1.0,0.0,1.0,deni̇zli̇,Denizli
Gulden_Dagdelen2,103.0,4.0,17.0,2.0,i̇stanbul,İstanbul
enanas,120.0,1.0,0.0,0.0,i̇stanbul,İstanbul
amime,54.0,1.0,2.0,1.0,yalova,Yalova
sevde1991,118.0,3.0,42.0,69.0,ankara,Ankara
vilyvn,78.0,10.0,27.0,22.0,ankara,Ankara
nedos,124.0,13.0,8.0,5.0,i̇zmi̇r,İzmir
ugurbyhtn,66.0,1.0,22.0,33.0,i̇stanbul,İstanbul
Malatya_Sondaj,84.0,2.0,6.0,0.0,malatya,Malatya
fatmasametsitki,61.0,2.0,0.0,1.0,adiyaman,Adıyaman
saziyedalci1994,84.0,1.0,6.0,11.0,nevşehi̇r,Nevşehir
MehmetZeliha_Polat,119.0,2.0,4.0,9.0,malatya,Malatya
Nur_Cigdem,127.0,1.0,0.0,2.0,afyon,Afyon
Elif_Ysr,141.0,1.0,4.0,1.0,adana,Adana
Gulsum_Seymen,129.0,2.0,0.0,3.0,kocaeli̇,Kocaeli
nerminin_mutfagi38,41.0,17.0,21.0,81.0,kayseri̇,Kayseri
Mesut_Ustunbas2,119.0,1.0,0.0,0.0,i̇stanbul,İstanbul
Dilek_Haydaroglu,84.0,3.0,10.0,27.0,ankara,Ankara
Mihri_CelikAkin,90.0,7.0,18.0,43.0,i̇zmi̇r,İzmir
