profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir
Ozlem_Oz33,55,3.0,36,122,
alalabia,100,155.0,58,4,
tarifffdefterim,52,168.0,2019,48,
tugceer99,57,12.0,158,287,teki̇rdağ
pratik__mutfak,41,69.0,292,43,i̇stanbul
mira-nida,92,101.0,129,9,i̇stanbul
SeherIrem_Cevik,115,9.0,11,10,
simalirem,39,50.0,39,5,i̇zmi̇r
yzcrmys,60,30.0,126,100,i̇stanbul
Figen_Gundogdu,118,117.0,358,8,i̇zmi̇r
Nurcan_Altas2,109,130.0,108,81,ankara
Kamil_Ozguven,77,8.0,5,1,karaman
ulviyeondun,40,16.0,56,6,ağri
serifekenikahveci7728,60,53.0,83,15,kayseri̇
Aysegul_UgrarAygun,126,15.0,17,2,malatya
FATMA_BAL_,43,35.0,71,23,di̇yarbakir
Sevilay_Ozdemir17,54,20.0,14,4,bursa
limonlucukulat,41,8.0,26,0,
alyadan_lezzetler,62,347.0,678,3,çorum
kadryekc,78,5.0,13,12,kahramanmaraş
AyseOzlem_OmerMutlu,137,18.0,13,2,bursa
goog_3b36b607d26b,41,11.0,21,15,adana
ikiyemekasigi,41,22.0,54,358,kocaeli̇
turkan-kekec-9370,43,18.0,18,11,kahramanmaraş
mutluyuvamda,75,39.0,61,0,
Tugce_Turker3,110,108.0,104,14,adana
Ebru_Kiran2,102,18.0,208,237,bursa
cigdem-temel-8908,43,17.0,17,11,teki̇rdağ
aalevvyakutt,42,64.0,38,0,bursa
Kubra_Gedikoglu,121,494.0,4225,3,i̇stanbul
Gulsah_CelikKaraaslan,108,25.0,22,1,
lezzetkusagm-2032,43,8.0,16,2,i̇stanbul
Ipek_Garip,123,35.0,97,23,
sevgiicer,92,93.0,471,0,ankara
amedli2172,103,32.0,48,9,ankara
dilarayasarogluu,54,69.0,125,152,edi̇rne
haliseyayan,120,290.0,1798,63,kayseri
_zzehracaaa,46,17.0,12,8,di̇yarbakir
elifvavbostanci,70,160.0,175,3,yurtdişi
elif3458,93,40.0,43,1,i̇stanbul
Esma_Gokaslan,124,280.0,325,17,balikesi̇r
esin0640,97,253.0,150,70,ankara
Aslihan_OzmayaSert,110,45.0,59,38,ankara
beyzatoksoz9729,52,311.0,868,1,karaman
glutensizcetr,53,134.0,91,4,i̇stanbul
fundaelkl,61,5.0,1,4,
Hulya_Gungor10,90,35.0,26,3,
baharbezirci61,80,716.0,4636,170,karabük
birhanimanne,53,95.0,102,5,
sevval-topal58,52,4.0,17,7,i̇stanbul
Gulsum_Atas,120,303.0,958,8,elaziğ
ayselgltp,48,51.0,89,3,si̇vas
kkubraksu,115,21.0,5,0,bursa
nadoskadriye,74,412.0,3023,8272,malatya
fatmaaydogan1903,70,83.0,495,5,mardi̇n
damla-ozcilgin-atay-9897,49,6.0,9,7,van
merve-zeynep,126,152.0,647,63,
ozummutfakk,49,16.0,28,15,eski̇şehi̇r
ilseta,121,89.0,154,40,hatay
lezzetlibiryer,81,251.0,523,7,aydin
Beyzanur_Uner,118,54.0,28,6,kocaeli̇
goog_f206a06580c5,49,43.0,29,0,balikesi̇r
nytuser_kamileninnefist_9738,49,5.0,6,10,isparta
Deniz_YildizBozdogan,118,142.0,429,2,i̇stanbul
Zhr2727,107,64.0,53,3,gazi̇antep
FB_100006287594445,138,97.0,1746,14,kocaeli̇
Asli_DemirbasAras,113,48.0,56,15,
Saniye_Aksoy5,88,15.0,25,29,
haticeb-arslan,108,10.0,18,10,
tgbdkb,49,43.0,41,8,i̇stanbul
sedaevirgen,61,19.0,34,2,bursa
nytuser_aleynaserbez_1135,50,2.0,8,1,mersi̇n
Fulya_Kose,114,30.0,28,3,
