profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir
humeyracinaarr,26,4.0,1,0,
Merve_Gokce3,123,46.0,33,5,çorum
Ezgi_Satir2,83,35.0,29,14,düzce
bjkask,58,5.0,3,4,ağri
rumgungor,59,8.0,14,2,
nytuser_fatmaserkanzeng_5512,27,2.0,2,1,
Ozge_Olker,94,21.0,16,5,i̇stanbul
nytuser_haticedilekci_4339,29,6.0,13,13,ordu
nytuser_esinsercekarako_3912,44,5.0,2,0,i̇stanbul
merihanna,111,4.0,9,73,
arzu-ozel-3349,45,28.0,27,1,kahramanmaraş
vuslatonl,119,31.0,20,6,malatya
birnaz08,99,8.0,5,1,ankara
yenigelin1903_8842,38,1.0,0,6,
mehon,83,5.0,9,6,i̇stanbul
Gulsum_Kayma,46,3.0,1,1,
Didem_Tayar2,103,96.0,131,3,trabzon
esrayavuzzz,91,5.0,5,2,elaziğ
drrabia,117,4.0,18,6,
mutfak__guncesii,39,53.0,56,0,ankara
aysegulhira,89,32.0,40,12,
mervebaduk,76,11.0,24,61,yurtdişi
goog_fd137e78d08d,30,1.0,1,6,gi̇resun
Dilan_Ozturk11,57,5.0,6,3,muğla
humeyrabayutku_6792,30,5.0,2,0,
Gamze_Tozlu,126,20.0,51,11,hatay
ayse_ibrahimm,41,14.0,6,4,bursa
Aysel_Harun,112,17.0,27,19,kahramanmaraş
chtcm,111,12.0,8,4,
Fatma_OzdenCim,75,5.0,0,2,
Emel_Targut,74,5.0,7,10,
canan2303,84,6.0,88,129,i̇zmi̇r
zuleyhaadogru,85,17.0,35,5,
Percan_Yelkenci,71,1.0,0,0,
senayates_9106,34,5.0,4,0,sakarya
zeynep_arasss,105,38.0,32,4,ankara
Sevgi-faruk,136,45.0,67,3,i̇stanbul
yelizuluay,70,14.0,10,6,kocaeli̇
Nigar_Sargin,93,4.0,10,21,i̇zmi̇r
kubraninmutfagindan,96,12.0,19,5,
yemektime,118,6.0,12,1,
tulaytaskiran,92,12.0,14,13,
goog_46123f6435ca,31,2.0,0,0,adana
selinkurtulus_1955,31,2.0,4,2,bursa
dilbersengul_9105,32,10.0,11,9,samsun
pinar_ayd9914,31,3.0,1,0,i̇stanbul
eceyenigelen,67,16.0,17,3,i̇zmi̇r
Balikci_Adam,113,1.0,0,0,
Tugce_Celebi3,109,29.0,92,2,
bikolaytarif,32,2.0,0,0,teki̇rdağ
lilyaaslan_5743,33,6.0,4,0,
Ebubekir_PasaAy,111,3.0,0,6,konya
Zehra_Koken,118,33.0,31,7,i̇stanbul
merve-ozdemir-4800,48,10.0,6,13,adana
Saliha_Mert,97,3.0,2,4,bursa
rukiyegizemaktas_0144,38,15.0,34,32,kahramanmaraş
ayse-akgun-6060,44,1.0,11,53,
senauslu,33,5.0,23,21,i̇zmi̇r
goog_c21656c3b9ff,34,3.0,5,1,kayseri̇
zlha03,78,39.0,132,28,afyon
goog_a618a27d9c40,37,2.0,4,18,i̇zmi̇r
goog_1e70b5af9a07,38,5.0,11,32,sakarya
merveoner,91,143.0,107,10,van
glsendr,85,39.0,49,18,
kubrailcihan8255,60,47.0,22,0,hatay
busekimki,40,1.0,0,0,i̇stanbul
beyzmert,62,15.0,22,20,bartin
hayriye-ozel-4082,47,2.0,1,0,çanakkale
Eylul_Demir,120,4.0,12,3,çorum
idil-alkan-2111,46,3.0,3,2,hatay
yamel0201,89,7.0,24,31,i̇stanbul
fidanaslan_7207,36,4.0,5,36,yurtdişi
Sibel_InandilarKemalli,126,5.0,12,7,
goog_2fec37d9c08c,35,3.0,0,0,
muhacir-asr,123,3.0,7,19,samsun
tattlieksi,36,16.0,56,23,nevşehi̇r
ebruozbir1,45,16.0,32,4,i̇stanbul
Melike_Karanlikoglu,119,4.0,8,1,
meryem9153,89,138.0,939,3,ri̇ze
begumturk_8486,37,2.0,3,0,gazi̇antep
meryemzehram,77,10.0,28,17,
Sultan_Isik13,100,18.0,32,11,
Nevin_CetinSik,125,7.0,23,31,balikesi̇r
sums_kitchenworld_5751,42,16.0,30,1,yurtdişi
hgylmz,46,7.0,0,0,i̇stanbul
tevhideguler,36,14.0,19,17,i̇stanbul
Muhammed_Demir26,68,4.0,3,1,i̇stanbul
goog_ec995c8e95fc,42,3.0,6,2,i̇zmi̇r
acemimutfak2022,37,66.0,70,45,balikesi̇r
cicim-mutfak-,91,37.0,23,24,
muberrakar,115,12.0,23,9,i̇stanbul
zeynep-9478,45,13.0,1,3,
Aysemut42,38,15.0,12,8,konya
mercaneksin,59,1.0,2,1,di̇yarbakir
sydkrhn,87,29.0,11,2,
melikecolak1,56,20.0,82,234,i̇stanbul
Ali_Bayar3,36,1.0,0,0,
Arzu_HudekogluAkin,38,38.0,17,3,kocaeli̇
herseyden_brz23,50,6.0,27,1,elazığ
melkkk,94,3.0,24,11,
nytuser_esmaaltun_9236,27,1.0,1,0,
gulhanimyalci,3,26.0,74,3,
leylabesler,10,15.0,22,1,muğla
nesrib_26,99,9.0,10,0,tokat
Filiz_Yildiz8,131,80.0,350,0,yurtdişi
AyyasCapulcu_AdileSezen,124,1.0,1,0,
ozleminmutfagi1,61,22.0,17,1,kocaeli
nytuser_esmacaya_2550,27,4.0,3,1,
Hazal_Budak3,66,36.0,62,3,mersin
elfry,61,2.0,1,1,
fulyatoraman,120,114.0,613,6,i̇stanbul
pnrakbul,33,61.0,288,9,i̇zmi̇r
mjgnsahin,98,7.0,7,5,tokat
muftakiyigelir,8,17.0,19,50,konya
aysentekay,3,2.0,2,0,batman
denizowski_,33,7.0,10,4,konya
mduygu89,127,54.0,37,15,
gizem-celikel-9184,52,26.0,2858,5,yurtdişi
ceydaabaseerrr,12,1.0,1,0,
Runevrem23,30,11.0,11,24,elaziğ
ayjuuu,66,51.0,29,2,
nazlisevval,4,1.0,2,0,
HandanYenerr,126,87.0,474,24,yurtdişi
DemetAli_Elbasan,145,15.0,19,16,
ahmetyildiz_1203,14,1.0,1,0,i̇stanbul
zelihazehranur,8,7.0,6,7,gazi̇antep
ayliny3,64,28.0,21,10,
agca_hayaloglu_97,24,4.0,3,4,bursa
melikecolaksarialt,5,17.0,65,0,i̇stanbul
Hasan_Iri,115,5.0,13,22,yurtdişi
Ayse_Keskin39,101,21.0,19,24,balikesi̇r
nytuser_gulerozata_6355,19,29.0,6,0,
Gamzenurulker19,26,20.0,35,10,hatay
MYmansure,15,3.0,1,6,
goog_4963e2f94107,38,12.0,9,11,şanliurfa
nytuser_nurcihancakmak_1076,12,3.0,2,0,
SeymaGelennn,38,12.0,3,9,
ayse_nur_munibe_birinci3307,10,11.0,209,2080,muğla
cigdemstklr,102,15.0,46,2,
nytuser_eminegunes_3801,28,1.0,1,2,
ikizannesimutfakta,99,29.0,49,8,i̇stanbul
Sevinc_Guvenc,123,3.0,3,8,i̇stanbul
nytuser_aysenurodabasi_4419,11,4.0,6,5,
merve_karakemik,10,4.0,8,0,
Tugce_Kostelekoglu,90,12.0,6,4,ankara
fatmatuba,122,2.0,21,45,
bolboltarif,89,128.0,490,6,i̇stanbul
bilgegvnc8701,78,1.0,4,2,
aytacmesimova1997,52,6.0,7,0,yurtdişi
gulcan_adem,11,3.0,1,1,i̇stanbul
emine-cetin-3278,48,1.0,5,3,
aleynqqq,72,19.0,20,6,i̇stanbul
cigdemburla,73,11.0,11,3,gazi̇antep
nurssenol,38,18.0,23,2,
-iremaltikulac,114,90.0,160,7,çanakkale
TugceSultan-G,107,2.0,2,1,
Serap_Ozer8,118,58.0,128,6,konya
goog_ed699d2bfc2c,31,10.0,17,3,
berivanazrat,55,49.0,30,10,yurtdişi
Tugce_Aksoy10,52,8.0,8,7,deni̇zli̇
canan_acikel4037,18,4.0,4,0,
senanintarifleri25,52,43.0,59,2,kayseri̇
ATT Humeyra,135,21.0,28,3,
nytuser_pinaraykut_3684,14,1.0,0,1,
nytuser_ebrugokdogankat_2162,15,26.0,49,74,mersi̇n
Merve_Tokar,65,8.0,17,0,di̇yarbakir
fatmaumut23,91,21.0,33,11,
Sema_Konur,14,17.0,3,0,konya
nytuser_meryemhale_7998,17,1.0,4,13,
nytuser_nehircebi_7910,28,2.0,3,2,kocaeli̇
Vildan_Vldn,123,40.0,51,2,i̇stanbul
Firdevs_Gok2,107,3.0,0,1,
suheylagazi3868,101,43.0,224,14,
goog_5529658bd5a5,40,15.0,5,4,adana
enleziztatlar,62,104.0,80,14,kastamonu
Fehmi_Artuk,77,2.0,1,3,i̇stanbul
Reyhan_Cakir6,77,2.0,202,6,edi̇rne
emineturten,77,7.0,68,41,
Nazli_Patir,123,43.0,71,30,
_pinarsahin_,16,7.0,2,0,kayseri̇
Banu_Sen3,108,24.0,22,12,kocaeli̇
Esma_Dogan24,65,6.0,5,14,i̇stanbul
ahmet_kartal5432,16,2.0,0,0,
emelyzc1,21,19.0,17,4,teki̇rdağ
kubratrn,126,80.0,61,6,di̇yarbakir
ErcanCemile_Kurt,92,317.0,253,27,edi̇rne
sinem_keskin3600,36,10.0,9,4,
busrasonmez57,16,7.0,30,358,
kezbanergin,110,18.0,42,73,bursa
tatlimutfak_8439,16,2.0,2,4,
_aynur_0698,20,18.0,16,18,konya
nytuser_denizokcun_1982,16,5.0,6,9,ri̇ze
dilekray,56,5.0,3,1,
ayse_erdem2597,16,2.0,0,0,i̇stanbul
pandam1,54,2.0,5,2,kocaeli̇
Saliha_AtaCiraci,134,5.0,0,2,sakarya
muftakkeki,25,8.0,7,0,denizli
semaunver,109,6.0,22,14,
Fatma_Ens,87,9.0,2,4,
Perihan_UlutasIpek2,69,18.0,17,1,i̇zmi̇r
nurhan52,84,5.0,5,3,
cerenvural,99,9.0,14,0,
ezgiyldz944,21,2.0,3,4,
Fehime_Kaynak,37,13.0,15,2,mardi̇n
Serap_Rinkes,61,7.0,7,4,
Seyhan_Cesen,126,26.0,40,1,deni̇zli̇
goog_7d11feacf6ca,32,1.0,0,0,
yagmurdarakci,119,2.0,0,2,
zehranin_mutfagindan,49,10.0,25,9,konya
elifasarlik_6775,29,12.0,20,0,
ilaydakmlv,114,21.0,33,2,i̇zmi̇r
Emine_Nur21,76,8.0,9,2,şanliurfa
ayasecca,19,17.0,6,6,i̇stanbul
mlskker,69,4.0,10,3,i̇stanbul
turanelifkaya,68,25.0,45,14,i̇stanbul
nytuser_busrayilmaz_8550,19,1.0,2,2,i̇stanbul
nytuser_sevdeunal_0587,26,16.0,12,2,isparta
IrmakEren_Kavuk,114,1.0,0,0,
aslihand,47,19.0,17,5,konya
Tugbasen66,28,32.0,47,0,yozgat
nytuser_elifsimsek_0679,22,16.0,15,13,samsun
Filiz_Bursa,55,16.0,13,1,antalya
maide06,87,50.0,97,13,yurtdişi
kis-masali,115,6.0,18,22,i̇stanbul
nytuser_aleynasirin_6984,23,7.0,12,2,trabzon
attmelek,127,8.0,13,7,aydin
elif-keskin-3127,43,30.0,46,11,yurtdişi
miraclepresentations,32,48.0,137,5,konya
omerAmine1,43,3.0,2,0,mani̇sa
sdersoy,75,47.0,132,253,ankara
mutfakgunlugumm,88,61.0,1193,10,tokat
seyma-esnyldz4647,46,5.0,25,2,şanliurfa
irem898,87,14.0,47,57,
nytuser_hiziryagiz_9448,26,5.0,3,6,teki̇rdağ
goog_b68d05f9c5bd,35,4.0,8,15,konya
sabihanurdantatlar,66,20.0,13,3,ki̇li̇s
umran-tosun-4967,51,2.0,2,2,trabzon
melikeyasir,79,24.0,35,29,
nytuser_yukselsunulu_4031,25,6.0,19,12,kahramanmaraş
Sezin_CandanGokcimen,119,9.0,9,8,
nytuser_seymasik_7969,26,9.0,103,0,i̇stanbul
ayyuceylmzz,33,15.0,29,2,ankara
ayseteyzeden,61,7.0,9,9,uşak
nytuser_sumeyyeduman_2766,24,5.0,7,4,yozgat
goog_cbbcf7782ebc,35,30.0,39,22,
nursah-yavuz-8138,45,3.0,5,0,
Meryem_Goksu,35,51.0,30,12,ankara
melishome7,24,4.0,1,2,
mervesen_3880,29,61.0,58,0,çorum
esra0817,62,13.0,41,3,karaman
ebrudoganoglu0109,73,49.0,55,65,adana
tugba_kaya3357,25,7.0,10,4,kocaeli̇
Dilek_Celikk,80,43.0,85,4,yurtdişi
asel_lina_2108,26,8.0,7,4,mardi̇n
shrgkkya,106,6.0,11,6,aksaray
hmrtkz53,36,4.0,6,6,i̇stanbul
merve-polat-1616,43,1.0,0,1,bursa
aselduru33,58,1.0,5,6,van
Sukeyne,125,57.0,668,51,ankara
TuqceCarbuga94,25,3.0,15,1,yalova
ceydacomek_7434,29,14.0,45,82,
Pervin_Ozsoy,64,25.0,54,28,ankara
Happy_Home,69,18.0,33,15,ankara
Seda_Ates16,88,47.0,20,4,
cengoz,103,46.0,197,3,ankara
goog_282d3066c503,32,9.0,13,7,konya
nytuser_fikrieismail_7846,28,12.0,7,9,
aybuke-uzun,47,1.0,0,0,ankara
ecebesir2004,53,35.0,18,1,ankara
Ebru_AkpolatKurt,41,23.0,22,43,yurtdişi
asumanyusuf53,56,22.0,317,1541,i̇stanbul
seldahamamci,27,3.0,11,30,
meral-oguz-1969,50,38.0,64,5,i̇zmi̇r
askilezzet,54,52.0,66,11,gazi̇antep
mom_life40,26,2.0,3,0,kirşehi̇r
Gaye_Larcin,85,24.0,9,0,gi̇resun
tencerekapakk,53,20.0,68,11,eski̇şehi̇r
aslikaplan3,95,2.0,0,2,
marifetli18eller862,26,4.0,10,0,konya
goog_ef6f4da2315b,31,1.0,0,3,
goog_61f0b59d6f28,39,8.0,6,2,erzurum
dilaradilek_2798,40,30.0,25,4,gazi̇antep
nytuser_selintas_5776,27,1.0,1,2,
aminekitchen,61,39.0,178,3,ankara
tncyurekli_semsinurizmirlio_66,27,11.0,18,12,
Ozge_Topoglu,106,184.0,131,3,yurtdişi
nytuser_hilaldurmaz_0514,27,4.0,34,116,gazi̇antep
mimarays,76,26.0,19,3,i̇stanbul
yusufeskiler_6285,29,9.0,34,15,şanliurfa
yaseminkurt22,84,37.0,93,12,edi̇rne
sude_9529,29,2.0,3,3,
ArzumKaya,48,3.0,1,2,aydin
nytuser_nursemakazan_7076,28,7.0,26,90,i̇zmi̇r
Hatice_Cosgun4,115,3.0,14,12,
Hacer_KayaAtak,77,8.0,12,9,balikesi̇r
kkubraahh,73,21.0,21,0,kayseri̇
nytuser_melisaatasayar_7668,54,6.0,8,0,
Nazli_Hatihan,37,20.0,22,8,deni̇zli̇
zeynepiyano,68,6.0,2,0,
melekdalli,55,16.0,18,49,
hserapkurtoglu,69,4.0,2,7,sakarya
FatmaZehra_Karakiprik,43,2.0,1,2,i̇stanbul
Ozge_Ozturk31,107,64.0,186,31,elaziğ
gamzecan_5710,29,10.0,13,4,nevşehi̇r
aybike-suluk-7944,48,5.0,14,9,si̇vas
nailee_,33,14.0,18,2,i̇stanbul
Hdy_Ilgn,55,7.0,10,3,aksaray
hacer090721,29,2.0,6,7,
laledgtr,111,99.0,61,14,i̇stanbul
yasa66,99,5.0,31,28,ankara
yaseminin_tarifleri,107,211.0,1880,4,i̇stanbul
sevgiceran,84,1.0,0,0,
yaseminacar_2134,30,10.0,3,0,
goog_ee5ffe30b94f,30,11.0,32,4,mersi̇n
sinemcetarifler,33,49.0,171,30,ankara
Yaseminbenli,38,4.0,2,21,hatay
lezizehanm,65,19.0,103,4,malatya
Gul_Uzer,62,8.0,15,29,teki̇rdağ
nytuser_yesimbegtas_8218,50,18.0,22,30,erzurum
instubiik4545,30,1.0,0,19,mani̇sa
gulaydin5971,59,10.0,1,3,i̇stanbul
handeninyemektarifleri,31,12.0,16,5,bursa
ebonuz,64,10.0,25,4,edi̇rne
Sinem_Bas,127,37.0,46,3,bursa
sedanur-celik-7522,48,4.0,0,4,
lilaseverkiz,32,16.0,10,2,
sultandan,72,2.0,4,5,konya
Aysegul_Izmir,54,11.0,8,5,
Enise_Ecmel,99,1.0,5,29,gazi̇antep
helindb,55,5.0,5,15,adana
gulistanyigitoglu,31,34.0,39,4,mersi̇n
nytuser_aysedemir_6438,13,10.0,6,10,uşak
goog_d0500dafba3b,34,41.0,47,42,konya
Semihal_Tuzuner,127,89.0,109,13,i̇stanbul
hakyolunholcusu,49,3.0,2,3,mani̇sa
kubrakaya_2809,31,5.0,4,0,gazi̇antep
nytuser_sirinmoslem_8353,15,34.0,41,6,
filiz_arslan6224,16,9.0,6,7,
ayferer67,16,4.0,1,0,zonguldak
nytuser_zehraerbil_2640,21,1.0,0,2,
Menzile_Dogan,48,3.0,2,1,mersi̇n
byznratasoy,45,8.0,10,10,
engineerelif,75,27.0,50,7,deni̇zli̇
HilaliLezzetler,22,1.0,3,2,
HasanKadriye_Sen,69,1.0,3,2,
burcualbayrak_,29,10.0,16,29,i̇stanbul
Ilayda_Aydilek,40,36.0,19,1,adana
goog_fb4c9c62917b,49,8.0,15,1,
cemreyigitalp,91,9.0,7,3,sakarya
zakbaba,112,19.0,10,10,ankara
Irem_Deniz11,48,12.0,7,1,
Tarifimguzel,36,4.0,3,4,yurtdişi
gulsumozdal_2705,39,11.0,8,0,ankara
Guven_Yildiz,113,11.0,18,35,yurtdişi
goog_eflatun,34,7.0,20,12,
seldagaripp,79,10.0,4,1,trabzon
kizimvelezzetlerim,42,66.0,110,1,
zeynengin,112,36.0,50,23,
yelizyolcu,118,110.0,141,48,uşak
mervedagli_2249,37,9.0,7,2,i̇stanbul
handanaskar1971,57,15.0,11,10,
cgdmiseli,76,28.0,15,7,i̇stanbul
goog_23d87965539c,50,10.0,21,38,malatya
Evin_Bartin,76,58.0,381,381,hakkari̇
Eda_UnverSonbul,67,7.0,14,10,sakarya
aysekoylu_28,39,5.0,3,3,kayseri̇
minikasci1234,104,5.0,5,2,i̇stanbul
ebrublt91,51,11.0,31,0,ankara
goog_7461eb1a63b5,40,10.0,26,21,konya
bynkartal,94,19.0,9,8,ankara
slcnyzk,125,4.0,12,0,i̇stanbul
Elifnaz_Guven,60,2.0,5,7,
ayaz-maside-4758,52,12.0,8,2,yurtdişi
Eda_Aslan6,114,8.0,25,34,di̇yarbakir
Omer_Can35,41,4.0,2,0,şanliurfa
nigareroz_9901,41,8.0,1,1,bursa
tugba0606,87,3.0,0,1,
rabiaonur,84,1.0,2,3,
rabisli_sunumlarr,42,16.0,54,1,
lylbasak,64,18.0,23,26,i̇stanbul
Meltem_Erdogan8,107,10.0,9,6,mani̇sa
TCOzlem_Kanalya,99,17.0,28,14,teki̇rdağ
demetko,126,32.0,99,24,i̇stanbul
ilknur-tekatli-8273,51,12.0,10,4,
senaunni,56,5.0,1,4,
melike-tidin-1969,45,8.0,9,2,
ozlemelmaa,80,132.0,792,254,kocaeli̇
dilekardaras,66,12.0,44,29,malatya
Nihal_Oner3,62,84.0,66,16,bursa
nytuser_enesayman_3435,53,3.0,8,7,
edaa1994,98,21.0,10,29,ankara
sultan-tanir-2018,48,7.0,12,2,i̇zmi̇r
Saime_Cakiroglu,119,4.0,1,0,i̇zmi̇r
Kewser_Cinar,67,7.0,5,3,
toprakbeste,104,36.0,146,110,teki̇rdağ
cemileaciboyraz,94,15.0,8,2,i̇stanbul
minfsmmm,96,10.0,15,19,kahramanmaraş
Ibrahim_Tokat,129,44.0,49,3,
fatmanuravci1764,79,7.0,3,2,
Goker_Gun,92,5.0,2,0,i̇zmi̇r
neslisahhakyemez55,74,32.0,4978,1,i̇stanbul
Cesur_Guzel,71,4.0,9,18,i̇stanbul
gulsum-yildirim-sular-91,50,15.0,26,8,kahramanmaraş
ozgun3737,55,1.0,39,209,
35aise35,61,2.0,4,21,i̇zmi̇r
Selda_Kel,50,20.0,35,13,kocaeli̇
ezzgggiiii,79,11.0,108,132,antalya
inci-guvener-5103,53,11.0,24,43,
zeynepselen890gmail-com,54,16.0,10,5,hatay
Aysel_Camlikaya,73,8.0,3,1,
hanacar,76,10.0,49,36,yurt dışı (almanya)
Elif_Tamer6,108,34.0,73,28,ankara
hnm2,57,4.0,7,4,şanliurfa
Fatos_Glr,94,16.0,569,447,adana
pamuksekerrrr,60,41.0,35,7,
zhrvysl,76,1.0,1,2,
kerimelikerem,65,118.0,182,140,muğla
Aysenur_Ozcan10,96,9.0,16,27,osmani̇ye
melekburcu73,52,2.0,6,31,
vesselamm,88,4.0,6,7,ankara
elifsasmazer,56,40.0,51,5,teki̇rdağ
esrabilici5889,75,40.0,27,10,hatay
arzu-secen-3084,53,14.0,12,7,
merveg38,72,11.0,9,7,bursa
rukiyekaya-8231,53,74.0,67,9,
Ozlem_Tasci6,70,1.0,1,1,
gamzeecinarr,53,24.0,245,401,
asminyahya,96,31.0,67,52,
homemade_by_blondechef,69,26.0,19,13,
cayseker,55,14.0,29,13,i̇stanbul
mmeerrvveecee,54,3.0,7,33,
sultan-pasa,115,45.0,54,47,konya
Sakir_Uygur,110,84.0,650,948,tokat
omrumzubeyde,81,4.0,4,6,
dumannn,138,4.0,10,16,
Figen_Yavuzdogan,137,29.0,91,93,
sahizerozturk2709,71,140.0,319,14,teki̇rdağ
meltemekee,58,86.0,271,7,ankara
saidenintarifleri,99,20.0,76,262,konya
arifetrk,121,222.0,427,72,deni̇zli̇
Yasemin_CorakOzcan,126,4.0,12,11,kirklareli̇
malatyaliayse,96,4.0,1,1,malatya
SukRan_SeKer,101,20.0,47,39,ri̇ze
aysenahu,60,19.0,21,3,i̇stanbul
ozgunsoriginals,59,48.0,24,2,i̇zmi̇r
Erdogan_Abdiler,62,16.0,61,88,i̇zmi̇r
nurtackalkan,122,84.0,167,8,sivas
alikilic,108,5.0,2,5,
Enigma,133,14.0,7,5,i̇stanbul
brahmhn,101,5.0,5,4,
gamzeakin61,100,25.0,21,14,
ylnmuzeyyen,128,10.0,9,3,
selvinaztosun,91,24.0,44,39,
elifdenizakdere,113,9.0,4,0,i̇stanbul
goodfoods,65,142.0,367,7,sakarya
Nihal_Unalan,62,8.0,3,2,
senaninsayfasii,62,27.0,29,4,i̇stanbul
lezzet_perisi,84,12.0,35,5,batman
Nermin_Ars,101,6.0,12,1,i̇stanbul
Burak_Kizildemir,99,4.0,1,1,antalya
Serpil_Asan3,117,1.0,0,3,
haticem9,61,11.0,8,2,
Elif_Dmk,126,5.0,12,31,
1senkra,62,10.0,23,31,gazi̇antep
sumeyye2437,68,25.0,37,1,i̇stanbul
Ayla_Saglam,155,42.0,163,28,bursa
OznurBerfe_Kucuk,116,7.0,8,4,gi̇resun
aysegultokkk,112,36.0,35,81,i̇stanbul
beyzakaln,123,24.0,38,6,bolu
Senay_Kaya5,119,23.0,39,27,i̇stanbul
nezahat0207,140,15.0,24,20,kayseri̇
cigdemmeydan3336,77,5.0,2,4,
ZeynepYagmur_Kir,63,36.0,9,1,nevşehi̇r
Busra_EmanetYilmaz,117,8.0,2,5,i̇stanbul
Fadime_Dogan10,101,10.0,4,2,adana
berrfin,63,8.0,5,3,ankara
halit4343,125,17.0,20,19,trabzon
BeytullahKubra_Ayhan,107,84.0,99,26,kocaeli̇
haticesunac2910,90,22.0,69,53,gazi̇antep
Vedat_Gockun,79,44.0,27,0,
haticesultanintarifleri,66,4.0,24,27,
cinesari,95,2.0,3,4,
balkanoya,64,43.0,480,5,i̇stanbul
cheflezzeti,64,47.0,578,63,ankara
bahargunduz5888,65,84.0,139,8,ankara
fatossac,67,3.0,9,8,
sevdakumsal,70,13.0,11,2,hatay
nergiznara,98,12.0,28,23,antalya
edaasekoo,78,37.0,69,26,zonguldak
tubatugce1277,77,25.0,48,34,hatay
clnayse,79,17.0,11,0,çanakkale
sabihakapcak,65,64.0,894,0,balikesi̇r
evlezzetlerimm,84,86.0,38,15,
yemekstilistii,76,19.0,26,14,i̇stanbul
twoboysmomy,114,9.0,33,6,
serifeninmutfagii,65,111.0,2114,1,i̇stanbul
ozz09,97,17.0,39,19,aydin
merveguncicek,103,2.0,0,10,ankara
pukumutfakta,77,322.0,8825,63,i̇stanbul
esmer35esmer,121,9.0,9,19,i̇zmi̇r
Dilek_Simsek5,125,21.0,16,6,balikesi̇r
Nuray_Gurcan,149,1.0,0,1,
suzililezzetler,67,4.0,11,0,
hsnbtlalc,73,25.0,16,6,
htcgenc,75,1.0,0,0,
Emma_Morley,101,16.0,31,22,i̇stanbul
sultanetcom,71,5.0,29,2,
Arife_Komur,78,64.0,65,14,amasya
Hayat_YilmazBingol,148,42.0,111,14,malatya
ismqil,70,3.0,2,0,
mervekara2017,89,19.0,15,19,teki̇rdağ
Melike_Gulcan,102,11.0,9,2,balikesi̇r
didemyukselbayram,121,4.0,8,22,
MMKA,133,37.0,117,161,ri̇ze
Ayten_Findikli,76,91.0,112,9,
arzukurkcu,88,3.0,3,16,
Nazli_Kaya44,77,5.0,16,26,yurtdişi
sametkuncu,84,14.0,22,0,elaziğ
alihavva,110,31.0,41,84,adana
duygumasali,89,3.0,16,12,
gulsahaygun,91,34.0,34,30,ankara
milaka,123,41.0,1965,18,konya
mutfaktaprenseslervar,84,24.0,38,12,
izmitmerve,76,20.0,79,29,kocaeli̇
lezzetsepetim,74,4.0,8,3,trabzon
berivanndemirr,75,11.0,12,4,
Tulin_Ekiz,100,16.0,15,1,i̇stanbul
eminegulen18,75,133.0,101,12,ankara
fnehir,100,3.0,4,5,
meryem2365,75,1.0,0,0,
Bahar_Kucuk3,114,87.0,130,82,i̇zmi̇r
Bensu_Asik,86,28.0,166,345,i̇zmi̇r
filizucar7946,81,73.0,248,39,i̇stanbul
Ezgi_Kirmizi,90,132.0,153,78,şanliurfa
SuleymanMetin_Erman,125,131.0,70,7,bursa
leylerodoper1655,100,35.0,17,0,
semragazi1115,102,7.0,17,13,i̇zmi̇r
aysemrullah,107,45.0,36,20,bursa
Eda_Bozkurt19,90,22.0,78,64,adana
Burak_Uruc,90,112.0,191,6,aksaray
hilalduman23,84,10.0,23,16,elaziğ
fimert,82,7.0,11,3,
Meltem_Turker3,95,26.0,82,18,mani̇sa
135es,84,50.0,263,50,ankara
shyui,77,4.0,33,18,
cangam,77,7.0,13,1,
semraerdemir8519,93,32.0,36,6,antalya
ikranurunannesiyim,77,3.0,22,80,aksaray
bilgenkutlu,124,48.0,231,0,i̇stanbul
Unal_CaLisirr,110,27.0,10,0,gümüşhane
Kumral_Ada,82,13.0,83,84,i̇stanbul
ebukkkk,82,5.0,9,24,
Ugur_Poge,78,4.0,0,0,aydin
esra1906,84,8.0,7,5,ankara
Ebus_Emir,79,3.0,1,2,
Hilal_Cobanbasi,82,24.0,227,332,samsun
Deniz_YucelEsol,126,21.0,17,3,ankara
yemekseheri,79,12.0,16,5,bursa
aydinli-dilara,126,14.0,18,31,yurtdişi
egozde,106,57.0,91,42,mersi̇n
Dagkck_Nihal,78,7.0,7,6,erzurum
Adimcokuzunyazmasamolurmu_EsenYildirim,108,22.0,50,13,eski̇şehi̇r
Esin_Alpkan,122,35.0,45,13,
hatkut,98,9.0,6,0,şanliurfa
Mirac_Kaya7,86,1.0,1,2,
bayraktuqce,93,46.0,22,12,trabzon
Leyl-i_Huzur,111,122.0,360,74,i̇stanbul
Can_Topcu,111,1.0,0,2,
songulertan2246,92,74.0,91,57,yurtdişi
ortancaserkan,123,60.0,109,37,i̇zmi̇r
TCOzge_Parlak,132,137.0,1802,59,adana
safakkocakal,104,17.0,42,58,uşak
iremeryemylmz,83,48.0,107,18,i̇stanbul
belinayyyy,87,35.0,41,3,di̇yarbakir
busrabolukbas,83,35.0,38,56,i̇stanbul
mahsen345185,84,165.0,76,0,i̇stanbul
lezizmutfakk,88,20.0,116,1,kütahya
Dilek_Keser5,94,23.0,66,44,isparta
tarifferr,109,92.0,1417,2105,yurtdişi
Sedef-Armina,112,11.0,32,47,çanakkale
mervesila17,84,20.0,17,6,teki̇rdağ
hulyanin-mutfagi-,84,37.0,50,12,tokat
Meliha-Akyuz,118,210.0,1776,45,di̇yarbakir
