kayit_ay,tarif_sayisi,takipci,takip,sehir,profil_id
124.0,280.0,325.0,17.0,balikesi̇r,174995
97.0,253.0,150.0,70.0,ankara,100280
110.0,45.0,59.0,38.0,ankara,174996
52.0,311.0,868.0,1.0,karaman,100282
53.0,134.0,91.0,4.0,i̇stanbul,100283
61.0,5.0,1.0,4.0,,100284
90.0,35.0,26.0,3.0,,174997
80.0,716.0,4636.0,170.0,karabük,100286
53.0,95.0,102.0,5.0,,100287
52.0,4.0,17.0,7.0,i̇stanbul,100288
120.0,303.0,958.0,8.0,elaziğ,174998
48.0,51.0,89.0,3.0,si̇vas,100290
115.0,21.0,5.0,0.0,bursa,100291
74.0,412.0,3023.0,8272.0,malatya,100292
70.0,83.0,495.0,5.0,mardi̇n,100293
49.0,6.0,9.0,7.0,van,100294
126.0,152.0,647.0,63.0,,100295
49.0,16.0,28.0,15.0,eski̇şehi̇r,100296
121.0,89.0,154.0,40.0,hatay,100297
81.0,251.0,523.0,7.0,aydin,100298
118.0,54.0,28.0,6.0,kocaeli̇,174999
49.0,43.0,29.0,0.0,balikesi̇r,100300
49.0,5.0,6.0,10.0,isparta,100301
118.0,142.0,429.0,2.0,i̇stanbul,175000
107.0,64.0,53.0,3.0,gazi̇antep,175001
138.0,97.0,1746.0,14.0,kocaeli̇,175002
113.0,48.0,56.0,15.0,,175003
88.0,15.0,25.0,29.0,,175004
108.0,10.0,18.0,10.0,,100307
49.0,43.0,41.0,8.0,i̇stanbul,100308
61.0,19.0,34.0,2.0,bursa,100309
50.0,2.0,8.0,1.0,mersi̇n,100310
114.0,30.0,28.0,3.0,,175005
152.0,346.0,581.0,115.0,balikesi̇r,100312
54.0,194.0,326.0,3.0,i̇stanbul,100313
126.0,3.0,3.0,30.0,ankara,175006
61.0,1.0,16.0,38.0,teki̇rdağ,100315
105.0,14.0,36.0,0.0,gazi̇antep,175007
119.0,171.0,84.0,10.0,i̇stanbul,175008
103.0,347.0,339.0,0.0,antalya,175009
50.0,6.0,6.0,6.0,eski̇şehi̇r,100319
51.0,27.0,205.0,1139.0,ankara,100320
75.0,108.0,134.0,184.0,yozgat,175010
117.0,17.0,14.0,16.0,,175011
141.0,138.0,365.0,5.0,yurtdişi (a.b.d.),175012
51.0,14.0,3.0,8.0,,100324
50.0,49.0,74.0,17.0,,100325
77.0,717.0,908.0,6.0,afyon,100326
50.0,76.0,210.0,26.0,,100327
75.0,9.0,48.0,46.0,mardi̇n,100328
53.0,29.0,11.0,3.0,balikesi̇r,100329
74.0,15.0,14.0,1.0,,100330
65.0,12.0,17.0,0.0,malatya,100331
92.0,69.0,49.0,32.0,mani̇sa,100332
93.0,335.0,8879.0,31.0,i̇stanbul,100333
73.0,20.0,14.0,4.0,ankara,100334
91.0,461.0,330.0,50.0,edi̇rne,175013
53.0,56.0,664.0,374.0,yurtdişi,100336
123.0,160.0,276.0,13.0,tokat,175014
52.0,28.0,16.0,51.0,gazi̇antep,100338
59.0,89.0,652.0,1834.0,,100339
52.0,10.0,110.0,13.0,şanliurfa,100340
51.0,1.0,0.0,1.0,i̇stanbul,175015
56.0,1.0,1.0,2.0,,100342
68.0,3.0,6.0,11.0,gazi̇antep,100343
57.0,52.0,49.0,2.0,çanakkale,100344
94.0,50.0,59.0,17.0,van,100345
51.0,52.0,92.0,0.0,i̇stanbul,100346
77.0,20.0,49.0,46.0,osmani̇ye,100347
102.0,41.0,147.0,12.0,i̇stanbul,100348
60.0,3.0,4.0,11.0,bursa,100349
53.0,77.0,107.0,6.0,yurtdişi,100350
121.0,10.0,12.0,12.0,i̇stanbul,175016
79.0,5.0,16.0,25.0,yurtdişi,175017
54.0,6.0,7.0,0.0,adana,100353
53.0,187.0,143.0,35.0,i̇zmi̇r,100354
55.0,309.0,1382.0,0.0,,100355
52.0,76.0,37.0,4.0,i̇stanbul,100356
54.0,4.0,7.0,0.0,,175018
109.0,32.0,99.0,0.0,yurtdişi,175019
131.0,36.0,91.0,151.0,i̇stanbul,175020
53.0,18.0,10.0,2.0,balikesi̇r,100360
91.0,44.0,72.0,60.0,,175021
52.0,21.0,40.0,1.0,bursa,100362
62.0,24.0,14.0,26.0,konya,100363
106.0,1.0,3.0,1.0,ankara,100364
52.0,20.0,20.0,4.0,i̇stanbul,100365
56.0,34.0,41.0,6.0,ağri,100366
71.0,10.0,15.0,1.0,,100367
53.0,322.0,398.0,12.0,manisa,100368
142.0,72.0,65.0,28.0,ankara,100369
53.0,14.0,13.0,14.0,,100370
75.0,217.0,110.0,17.0,gazi̇antep,100371
147.0,10.0,29.0,19.0,ankara,175022
123.0,228.0,754.0,13.0,yurtdişi,175023
57.0,12.0,4.0,8.0,,175024
53.0,118.0,329.0,6.0,i̇stanbul,175025
133.0,6.0,2.0,1.0,mersi̇n,175026
73.0,85.0,194.0,313.0,mardi̇n,100377
113.0,1.0,0.0,0.0,i̇stanbul,175027
97.0,41.0,124.0,23.0,afyon,100379
77.0,21.0,107.0,197.0,erzi̇ncan,100380
53.0,72.0,137.0,22.0,ki̇li̇s,100381
101.0,31.0,17.0,12.0,bursa,100382
57.0,180.0,1756.0,18.0,,100383
59.0,732.0,2113.0,15.0,sakarya,100384
114.0,2.0,0.0,1.0,,175028
64.0,4.0,10.0,14.0,,100386
53.0,2.0,1.0,5.0,şanliurfa,100387
59.0,13.0,11.0,27.0,erzurum,100388
110.0,137.0,1171.0,3464.0,i̇stanbul,100389
116.0,22.0,52.0,3.0,kocaeli̇,175029
79.0,30.0,66.0,131.0,,175030
71.0,6.0,53.0,50.0,çankiri,100392
61.0,30.0,93.0,108.0,gazi̇antep,100393
57.0,41.0,31.0,8.0,şanliurfa,100394
149.0,11.0,25.0,24.0,yurtdişi,175031
69.0,7.0,6.0,2.0,adana,100396
73.0,36.0,17.0,3.0,bartin,175032
54.0,7.0,2.0,1.0,,100398
55.0,42.0,46.0,1.0,,100399
72.0,199.0,240.0,5.0,şanliurfa,100400
54.0,1.0,1.0,2.0,,100401
94.0,2.0,6.0,2.0,,175033
61.0,38.0,22.0,30.0,muğla,175034
67.0,3.0,0.0,1.0,,100404
102.0,18.0,141.0,112.0,si̇vas,175035
118.0,272.0,1093.0,10.0,ankara,175036
55.0,23.0,32.0,42.0,i̇stanbul,100407
102.0,91.0,509.0,28.0,kocaeli̇,100408
58.0,27.0,37.0,16.0,,100409
57.0,19.0,46.0,19.0,bursa,100410
54.0,6.0,7.0,4.0,,175037
55.0,219.0,1925.0,5.0,ankara,100412
61.0,11.0,33.0,11.0,,100413
105.0,74.0,73.0,0.0,,100414
57.0,275.0,2855.0,83.0,yurtdişi,100415
85.0,106.0,142.0,55.0,yurtdişi,100416
55.0,46.0,136.0,131.0,,100417
59.0,47.0,292.0,11.0,i̇stanbul,100418
55.0,18.0,125.0,108.0,gazi̇antep,100419
55.0,51.0,46.0,5.0,,100420
75.0,203.0,536.0,6.0,i̇stanbul,100421
60.0,19.0,129.0,0.0,,100422
55.0,16.0,14.0,7.0,yalova,175038
79.0,180.0,1008.0,69.0,,175039
56.0,31.0,7.0,0.0,mersi̇n,100425
77.0,48.0,15.0,1.0,i̇stanbul,100426
75.0,24.0,117.0,96.0,,100427
132.0,185.0,487.0,5.0,,175040
64.0,3.0,31.0,30.0,bursa,100429
125.0,34.0,47.0,180.0,hatay,100430
107.0,86.0,40.0,1.0,ankara,100431
63.0,152.0,963.0,385.0,kocaeli̇,100432
85.0,9.0,6.0,8.0,sakarya,175041
64.0,23.0,49.0,40.0,antalya,100434
112.0,143.0,638.0,93.0,i̇stanbul,100435
57.0,7.0,2.0,3.0,gazi̇antep,175042
88.0,190.0,1914.0,3.0,i̇stanbul,100437
56.0,11.0,4.0,0.0,i̇stanbul,100438
110.0,1.0,2.0,1.0,trabzon,100439
62.0,116.0,106.0,1.0,afyon,100440
126.0,8.0,2.0,0.0,aydin,175043
59.0,155.0,147.0,3.0,muğla,175044
73.0,33.0,22.0,4.0,teki̇rdağ,175045
64.0,13.0,13.0,14.0,,100444
57.0,8.0,28.0,27.0,,100445
109.0,65.0,769.0,202.0,i̇stanbul,175046
102.0,482.0,977.0,9.0,antalya,175047
58.0,16.0,16.0,13.0,bursa,100448
60.0,259.0,475.0,0.0,i̇stanbul,100449
57.0,6.0,10.0,5.0,,175048
60.0,77.0,73.0,9.0,i̇stanbul,100451
57.0,11.0,25.0,14.0,,100452
108.0,23.0,128.0,19.0,adana,175049
92.0,2.0,4.0,11.0,,100454
100.0,65.0,54.0,17.0,i̇zmi̇r,175050
109.0,110.0,92.0,2.0,eski̇şehi̇r,175051
66.0,22.0,26.0,2.0,ankara,100457
104.0,126.0,154.0,99.0,konya,100458
66.0,11.0,3.0,2.0,,100459
105.0,23.0,13.0,3.0,kars,175052
62.0,27.0,46.0,1.0,,100461
89.0,116.0,92.0,26.0,i̇stanbul,100462
100.0,61.0,62.0,3.0,ankara,175053
133.0,394.0,2347.0,19.0,kocaeli̇,100464
61.0,87.0,128.0,72.0,teki̇rdağ,100465
60.0,3.0,10.0,13.0,,100466
130.0,65.0,58.0,12.0,konya,100467
101.0,95.0,624.0,16.0,konya,175054
60.0,2.0,4.0,1.0,di̇yarbakir,100469
105.0,687.0,2009.0,7.0,kocaeli̇,100470
59.0,27.0,25.0,5.0,eski̇şehi̇r,100471
59.0,17.0,58.0,104.0,konya,100472
124.0,7.0,19.0,25.0,,175055
62.0,34.0,41.0,0.0,sakarya,100474
104.0,4.0,13.0,3.0,,175056
70.0,15.0,33.0,3.0,teki̇rdağ,175057
111.0,53.0,38.0,10.0,şanliurfa,175058
66.0,136.0,354.0,4.0,si̇vas,100478
105.0,49.0,162.0,37.0,i̇stanbul,100479
61.0,29.0,62.0,102.0,,100480
107.0,237.0,125.0,84.0,kocaeli̇,100481
134.0,7.0,10.0,8.0,,175059
84.0,26.0,18.0,7.0,ankara,100483
60.0,43.0,64.0,14.0,yurtdişi,100484
120.0,9.0,6.0,5.0,yurtdişi,175060
80.0,116.0,89.0,32.0,i̇stanbul,175061
60.0,34.0,162.0,28.0,yurtdişi,100487
65.0,43.0,745.0,400.0,ankara,100488
79.0,303.0,197.0,33.0,bolu,100489
129.0,295.0,9712.0,48.0,amasya,175062
83.0,225.0,1061.0,28.0,i̇stanbul,100491
119.0,65.0,62.0,0.0,ankara,100492
62.0,14.0,82.0,117.0,konya,100493
60.0,10.0,9.0,9.0,si̇vas,175063
124.0,52.0,109.0,7.0,,175064
62.0,64.0,32.0,8.0,i̇stanbul,175065
60.0,11.0,18.0,1.0,muğla,100497
79.0,9.0,10.0,10.0,,100498
69.0,13.0,128.0,175.0,konya,100499
67.0,56.0,24.0,8.0,erzi̇ncan,100500
87.0,21.0,53.0,46.0,ankara,100501
80.0,38.0,74.0,0.0,,100502
122.0,22.0,24.0,1.0,mersi̇n,100503
90.0,5.0,8.0,7.0,,100504
62.0,8.0,7.0,7.0,ankara,100505
93.0,14.0,30.0,45.0,yurtdişi,100506
119.0,31.0,29.0,4.0,,100507
61.0,12.0,43.0,41.0,bi̇ngöl,100508
63.0,21.0,73.0,6.0,malatya,100509
108.0,262.0,362.0,11.0,uşak,175066
60.0,6.0,48.0,15.0,i̇stanbul,100511
85.0,127.0,1150.0,12.0,konya,100512
62.0,8.0,4.0,1.0,,100513
86.0,108.0,218.0,21.0,gi̇resun,100514
87.0,36.0,13.0,19.0,antalya,175067
125.0,57.0,124.0,2.0,i̇stanbul,175068
85.0,18.0,49.0,76.0,konya,100517
96.0,106.0,135.0,164.0,i̇stanbul,100518
138.0,12.0,31.0,40.0,i̇stanbul,175069
119.0,9.0,9.0,10.0,,175070
60.0,16.0,82.0,11.0,ankara,100521
75.0,2.0,2.0,3.0,,175071
90.0,98.0,181.0,24.0,ankara,175072
91.0,13.0,37.0,64.0,erzi̇ncan,100524
60.0,41.0,298.0,3.0,,175073
61.0,33.0,446.0,88.0,bursa,100526
60.0,4.0,6.0,10.0,kütahya,100527
